IGSN;Latitude;Longitude;Field program/cruise;Collection date
10.58052/IEFOU008X;43.7669;3.08613;Paul Hazet  PhD;2023-10-05T04:00:00Z
10.58052/IEFOU008Y;43.66063;3.35091;Paul Hazet  PhD;2023-10-05T04:00:00Z
10.58052/IEFOU008Z;43.66063;3.35091;Paul Hazet  PhD;2023-10-05T04:00:00Z
10.58052/IEFOU0090;6.3023;-75.16869;Paul Hazet  PhD;2024-06-21T04:00:00Z
10.58052/IEFOU0091;6.3023;-75.16869;Paul Hazet  PhD;2024-06-21T04:00:00Z
10.58052/IEFOU0092;6.77383;-75.24803;Paul Hazet  PhD;2024-06-19T04:00:00Z
10.58052/IEFOU0093;6.77235;-75.24695;Paul Hazet  PhD;2024-06-19T04:00:00Z
10.58052/IEFOU0094;42.299122;9.478227;EC2CO HISTORIFEUX;2024-03-19T04:00:00Z
10.58052/IEFOU0095;42.587002;8.948059;EC2CO HISTORIFEUX;2024-03-20T04:00:00Z
10.58052/IEFOU0096;43.345994;6.409862;EC2CO HISTORIFEUX;2024-10-15T04:00:00Z
10.58052/IEFOU0097;43.345248;6.4099;EC2CO HISTORIFEUX;2024-10-15T04:00:00Z
10.58052/IEFOU0098;43.470657;6.803493;EC2CO HISTORIFEUX;2024-10-16T04:00:00Z
10.58052/IEFOU0099;43.470662;6.803912;EC2CO HISTORIFEUX;2024-10-16T04:00:00Z
10.58052/IEFOU009A;43.471934;6.807608;EC2CO HISTORIFEUX;2024-10-16T04:00:00Z
10.58052/IEFOU009B;43.471958;6.807573;EC2CO HISTORIFEUX;2024-10-16T04:00:00Z
10.58052/IEFOU009C;43.467986;6.815623;EC2CO HISTORIFEUX;2024-10-16T04:00:00Z
10.58052/IEFOU009D;43.467967;6.815673;EC2CO HISTORIFEUX;2024-10-16T04:00:00Z
10.58052/IEFOU009E;43.467941;6.815629;EC2CO HISTORIFEUX;2024-10-16T04:00:00Z
10.58052/IEFOU009F;43.566566;6.79675;EC2CO HISTORIFEUX;2024-10-17T04:00:00Z
10.58052/IEFOU009G;48.83221506218;2.41236035882054;Piren Seine;2024-08-26T04:00:00Z
10.58052/IEFOU009H;48.8296268339056;2.41673419779867;Piren Seine;2024-08-26T04:00:00Z
10.58052/IEFOU009I;48.8319889268583;2.41260166749505;Piren Seine;2024-08-26T04:00:00Z
10.58052/IEFOU009J;48.8421026314589;2.42050138162324;Piren Seine;2024-08-26T04:00:00Z
10.58052/IEFOU009K;48.8419706763282;2.42036532948326;Piren Seine;2024-08-26T04:00:00Z
10.58052/IEFOU009L;48.8418575716538;2.42328687017347;Piren Seine;2024-08-26T04:00:00Z
